,Round,Client,TestAcc
929,93,9,27.41
930,94,0,23.74
931,94,1,26.74
932,94,2,26.02
933,94,3,23.72
934,94,4,23.73
935,94,5,24.0
936,94,6,24.74
937,94,7,24.25
938,94,8,24.6
939,94,9,27.58
940,95,0,24.56
941,95,1,23.95
942,95,2,19.09
943,95,3,25.17
944,95,4,24.91
945,95,5,24.03
946,95,6,24.93
947,95,7,24.13
948,95,8,24.59
949,95,9,23.83
950,96,0,24.94
951,96,1,24.99
952,96,2,22.72
953,96,3,25.83
954,96,4,24.56
955,96,5,22.1
956,96,6,23.09
957,96,7,26.46
958,96,8,20.28
959,96,9,24.48
960,97,0,23.47
961,97,1,26.04
962,97,2,22.93
963,97,3,26.04
964,97,4,23.61
965,97,5,23.81
966,97,6,20.71
967,97,7,22.63
968,97,8,20.6
969,97,9,21.48
970,98,0,27.2
971,98,1,26.37
972,98,2,23.78
973,98,3,25.58
974,98,4,23.1
975,98,5,16.67
976,98,6,22.9
977,98,7,22.9
978,98,8,18.27
979,98,9,24.71
980,99,0,22.74
981,99,1,24.87
982,99,2,19.36
983,99,3,20.62
984,99,4,24.96
985,99,5,21.87
986,99,6,19.97
987,99,7,24.16
988,99,8,23.81
989,99,9,19.87
990,100,0,22.91
991,100,1,18.54
992,100,2,22.92
993,100,3,25.65
994,100,4,23.45
995,100,5,23.62
996,100,6,23.41
997,100,7,23.22
998,100,8,25.24
999,100,9,25.02
