,Round,Client,TestAcc
990,100,0,24.35
991,100,1,20.48
992,100,2,23.26
993,100,3,26.66
994,100,4,24.29
995,100,5,25.22
996,100,6,24.46
997,100,7,21.84
998,100,8,25.58
999,100,9,26.22
